Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,750,"Weekly scores: [3 (12/31-01/06), 2 (01/07-01/13)]"
AnasSarkiz,600,"Weekly scores: [3 (12/31-01/06), 2 (01/07-01/13)]"
ArnavK-09,900,"Weekly scores: [3 (12/31-01/06), 2 (01/07-01/13)]"
ShiboSoftwareDev,1250,"Weekly scores: [3 (12/31-01/06), 2 (01/07-01/13)]"
rushabhcodes,230,"Weekly scores: [1 (12/31-01/06), 0 (01/07-01/13)]"
techmannih,600,"Weekly scores: [3 (12/31-01/06), 2 (01/07-01/13)]"
shehaban,30,"Weekly scores: [1 (12/31-01/06), 0 (01/07-01/13)]"
